"num","num2","time","gender2","age2","lhs2","general.trust2","close.trust2","all2","unstable2","unpredictable2","hard2","safe2"
"272.0","260.0","833秒","1.0","55.0","167.0","30.0","102.0","28.0","3.0","4.0","2.0","2.0"
"273.0","261.0","229秒","1.0","29.0","87.0","13.0","39.0","16.0","4.0","4.0","2.0","6.0"
"274.0","262.0","578秒","2.0","48.0","169.0","23.0","92.0","22.0","2.0","4.0","4.0","4.0"
"275.0","263.0","649秒","2.0","28.0","175.0","19.0","76.0","16.0","1.0","1.0","1.0","7.0"
"276.0","264.0","1828秒","1.0","50.0","160.0","21.0","95.0","27.0","5.0","5.0","5.0","6.0"
"277.0","265.0","446秒","1.0","47.0","175.0","22.0","78.0","25.0","1.0","1.0","4.0","7.0"
"278.0","266.0","237秒","2.0","45.0","160.0","22.0","88.0","28.0","4.0","4.0","4.0","6.0"
"279.0","267.0","310秒","1.0","23.0","186.0","30.0","104.0","28.0","7.0","7.0","6.0","5.0"
"280.0","268.0","408秒","2.0","22.0","162.0","23.0","98.0","17.0","1.0","5.0","2.0","6.0"
"281.0","269.0","545秒","2.0","24.0","192.0","20.0","68.0","22.0","1.0","1.0","1.0","7.0"
"282.0","270.0","481秒","2.0","18.0","168.0","23.0","85.0","18.0","3.0","3.0","3.0","1.0"
"283.0","271.0","777秒","1.0","21.0","144.0","23.0","83.0","18.0","1.0","1.0","1.0","1.0"
"285.0","272.0","241秒","2.0","25.0","173.0","27.0","109.0","14.0","4.0","4.0","4.0","4.0"
"286.0","273.0","403秒","2.0","31.0","159.0","25.0","99.0","28.0","1.0","1.0","1.0","6.0"
"287.0","274.0","303秒","2.0","34.0","161.0","19.0","46.0","15.0","2.0","2.0","2.0","7.0"
"288.0","275.0","349秒","2.0","34.0","137.0","24.0","96.0","28.0","1.0","1.0","1.0","7.0"
"289.0","276.0","351秒","1.0","30.0","126.0","15.0","65.0","18.0","1.0","1.0","1.0","7.0"
"290.0","277.0","473秒","2.0","33.0","136.0","21.0","93.0","23.0","4.0","4.0","4.0","5.0"
"291.0","278.0","613秒","2.0","32.0","152.0","23.0","90.0","26.0","3.0","2.0","2.0","5.0"
"292.0","279.0","755秒","2.0","30.0","177.0","21.0","94.0","28.0","3.0","5.0","4.0","6.0"
"293.0","280.0","1026秒","2.0","30.0","161.0","23.0","76.0","22.0","4.0","5.0","3.0","6.0"
"294.0","281.0","507秒","2.0","28.0","122.0","18.0","74.0","21.0","4.0","4.0","4.0","4.0"
"295.0","282.0","221秒","2.0","19.0","156.0","23.0","68.0","20.0","5.0","5.0","6.0","6.0"
"296.0","283.0","619秒","2.0","33.0","149.0","22.0","83.0","19.0","1.0","1.0","1.0","7.0"
"","","","","","","","","","6.0","6.0","2.0","5.0"
"","","","","","","","","","1.0","1.0","1.0","7.0"
"","","","","","","","","","2.0","5.0","5.0","6.0"
"","","","","","","","","","2.0","2.0","2.0","5.0"
"","","","","","","","","","1.0","1.0","2.0","6.0"
"","","","","","","","","","1.0","1.0","1.0","7.0"
"","","","","","","","","","2.0","2.0","3.0","5.0"
"","","","","","","","","","2.0","4.0","2.0","5.0"
"","","","","","","","","","2.0","4.0","4.0","6.0"
"","","","","","","","","","3.0","4.0","3.0","5.0"
