"num","num2","time","gender2","age2","lhs2","general.trust2","close.trust2","all2","unstable2","unpredictable2","hard2","safe2"
"167.0","161.0","1169秒","1.0","55.0","173.0","23.0","89.0","25.0","1.0","1.0","1.0","1.0"
"168.0","162.0","506秒","2.0","48.0","161.0","18.0","69.0","16.0","1.0","1.0","1.0","1.0"
"169.0","163.0","507秒","2.0","48.0","161.0","18.0","69.0","16.0","5.0","4.0","4.0","6.0"
"170.0","164.0","682秒","1.0","53.0","189.0","24.0","62.0","20.0","1.0","2.0","2.0","1.0"
"171.0","165.0","363秒","2.0","52.0","157.0","24.0","102.0","24.0","2.0","1.0","2.0","6.0"
"172.0","166.0","357秒","2.0","24.0","118.0","18.0","66.0","14.0","4.0","4.0","4.0","4.0"
"173.0","167.0","434秒","1.0","51.0","178.0","18.0","104.0","13.0","4.0","4.0","4.0","4.0"
"174.0","168.0","225秒","2.0","21.0","156.0","23.0","82.0","14.0","3.0","2.0","2.0","3.0"
"175.0","169.0","287秒","2.0","22.0","151.0","21.0","68.0","15.0","2.0","2.0","2.0","6.0"
"176.0","170.0","199秒","2.0","47.0","154.0","20.0","74.0","14.0","4.0","5.0","5.0","4.0"
"177.0","171.0","485秒","1.0","49.0","144.0","20.0","85.0","22.0","5.0","6.0","6.0","6.0"
"178.0","172.0","1369秒","1.0","48.0","197.0","21.0","68.0","23.0","5.0","5.0","5.0","5.0"
"179.0","173.0","748秒","2.0","36.0","153.0","24.0","89.0","26.0","5.0","5.0","4.0","5.0"
"180.0","174.0","1233秒","1.0","49.0","151.0","24.0","78.0","27.0","4.0","4.0","5.0","3.0"
"181.0","175.0","573秒","2.0","47.0","176.0","24.0","96.0","27.0","5.0","2.0","1.0","6.0"
"182.0","176.0","197秒","2.0","21.0","158.0","24.0","102.0","7.0","2.0","2.0","2.0","5.0"
"183.0","177.0","515秒","2.0","21.0","164.0","22.0","93.0","13.0","1.0","1.0","1.0","5.0"
"184.0","178.0","611秒","2.0","46.0","130.0","18.0","85.0","18.0","1.0","1.0","1.0","6.0"
"185.0","179.0","217秒","2.0","30.0","158.0","20.0","77.0","14.0","1.0","1.0","1.0","6.0"
"186.0","180.0","771秒","2.0","53.0","219.0","24.0","96.0","28.0","7.0","7.0","7.0","4.0"
"187.0","181.0","260秒","2.0","19.0","158.0","24.0","83.0","19.0","5.0","6.0","6.0","6.0"
"188.0","182.0","219秒","2.0","50.0","171.0","25.0","97.0","16.0","2.0","4.0","4.0","4.0"
"189.0","183.0","362秒","2.0","35.0","155.0","14.0","73.0","19.0","4.0","5.0","5.0","4.0"
"190.0","184.0","1014秒","1.0","53.0","135.0","23.0","79.0","27.0","1.0","1.0","1.0","7.0"
"191.0","185.0","349秒","1.0","22.0","138.0","17.0","103.0","22.0","2.0","2.0","6.0","5.0"
"192.0","186.0","844秒","2.0","45.0","143.0","21.0","68.0","27.0","4.0","5.0","4.0","5.0"
"193.0","187.0","319秒","2.0","19.0","165.0","21.0","72.0","21.0","2.0","2.0","3.0","2.0"
"194.0","188.0","641秒","2.0","47.0","176.0","23.0","101.0","24.0","1.0","2.0","1.0","7.0"
"195.0","189.0","668秒","2.0","22.0","159.0","13.0","82.0","5.0","2.0","4.0","2.0","6.0"
"196.0","190.0","545秒","1.0","41.0","162.0","22.0","66.0","16.0","1.0","1.0","2.0","7.0"
"197.0","191.0","886秒","2.0","22.0","137.0","30.0","90.0","27.0","2.0","1.0","1.0","1.0"
"198.0","192.0","634秒","2.0","23.0","155.0","23.0","96.0","20.0","2.0","1.0","4.0","7.0"
"199.0","193.0","431秒","2.0","27.0","179.0","25.0","96.0","16.0","7.0","7.0","7.0","2.0"
"200.0","194.0","598秒","2.0","54.0","139.0","16.0","97.0","27.0","4.0","4.0","4.0","4.0"
"202.0","195.0","369秒","1.0","44.0","158.0","24.0","85.0","16.0","1.0","1.0","1.0","6.0"
"203.0","196.0","717秒","2.0","23.0","159.0","18.0","60.0","8.0","2.0","2.0","2.0","2.0"
"204.0","197.0","1133秒","1.0","49.0","184.0","24.0","92.0","25.0","5.0","5.0","2.0","4.0"
"205.0","198.0","134秒","2.0","21.0","198.0","23.0","99.0","12.0","1.0","1.0","2.0","7.0"
"206.0","199.0","292秒","1.0","24.0","164.0","21.0","91.0","21.0","3.0","3.0","5.0","3.0"
"207.0","200.0","959秒","1.0","50.0","170.0","24.0","110.0","26.0","7.0","7.0","7.0","5.0"
"208.0","201.0","180秒","1.0","46.0","163.0","13.0","91.0","16.0","1.0","1.0","3.0","6.0"
